itrial,dataset,method,coverage,width,L2_lambda
6,wine,IF3-JAWAmm,0.996661101836394,50.45625674280932,8.0
7,wine,IF1-jackknife,0.9081803005008348,2.6488113909407573,8.0
7,wine,IF1-jackknife-mm,0.9181969949916527,2.7681133269341758,8.0
7,wine,IF1-jackknife+,0.9065108514190318,2.6488113909407573,8.0
7,wine,IF1-JAWA,0.9549248747913188,2.9105897235707507,8.0
7,wine,IF1-JAWA,0.9549248747913188,2.9105897235707507,8.0
7,wine,IF2-jackknife,0.9015025041736227,2.6291493577866714,8.0
7,wine,IF2-jackknife-mm,0.9248747913188647,2.8432491501368813,8.0
7,wine,IF2-jackknife+,0.9065108514190318,2.662130558379814,8.0
7,wine,IF2-JAWA,0.9582637729549248,2.9436542761967996,8.0
7,wine,IF2-JAWAmm,0.9382303839732888,3.061742136066497,8.0
7,wine,IF3-jackknife,0.9198664440734557,2.851501426031244,8.0
7,wine,IF3-jackknife-mm,0.9632721202003339,4.933104960067548,8.0
7,wine,IF3-jackknife+,0.9198664440734557,2.7683590091160992,8.0
7,wine,IF3-JAWA,0.9616026711185309,3.110102156478399,8.0
7,wine,IF3-JAWAmm,0.9632721202003339,4.933104960067548,8.0
8,wine,IF1-jackknife,0.8046744574290484,2.4038830016801147,8.0
8,wine,IF1-jackknife-mm,0.8347245409015025,2.551063167046317,8.0
8,wine,IF1-jackknife+,0.8213689482470785,2.4310809597267955,8.0
8,wine,IF1-JAWA,0.9081803005008348,3.0237878263355835,8.0
8,wine,IF1-JAWA,0.9081803005008348,3.0237878263355835,8.0
8,wine,IF2-jackknife,0.8313856427378965,2.4988976475225213,8.0
8,wine,IF2-jackknife-mm,0.8430717863105175,2.6842586794027294,8.0
8,wine,IF2-jackknife+,0.8313856427378965,2.4988976475225213,8.0
8,wine,IF2-JAWA,0.9048414023372288,3.0068901287373704,8.0
8,wine,IF2-JAWAmm,0.8681135225375626,2.909585153968383,8.0
8,wine,IF3-jackknife,0.8263772954924875,2.4473938657159247,8.0
8,wine,IF3-jackknife-mm,0.8814691151919867,2.819003947043088,8.0
8,wine,IF3-jackknife+,0.8263772954924875,2.491768298549067,8.0
8,wine,IF3-JAWA,0.9098497495826378,2.86976921704054,8.0
8,wine,IF3-JAWAmm,0.9031719532554258,3.1075533245335256,8.0
9,wine,IF1-jackknife,0.8046744574290484,2.618456897292816,8.0
9,wine,IF1-jackknife-mm,0.8280467445742905,2.851259280518522,8.0
9,wine,IF1-jackknife+,0.8046744574290484,2.6114042899087515,8.0
9,wine,IF1-JAWA,0.8263772954924875,2.5813857877883115,8.0
9,wine,IF1-JAWA,0.8263772954924875,2.5813857877883115,8.0
9,wine,IF2-jackknife,0.8063439065108514,2.65157715447081,8.0
9,wine,IF2-jackknife-mm,0.8931552587646077,3.334613081886488,8.0
9,wine,IF2-jackknife+,0.8063439065108514,2.6463544067610556,8.0
9,wine,IF2-JAWA,0.8297161936560935,2.5883274305590946,8.0
9,wine,IF2-JAWAmm,0.8514190317195326,3.121060416071076,8.0
9,wine,IF3-jackknife,0.8046744574290484,2.603280436309892,8.0
9,wine,IF3-jackknife-mm,0.9766277128547579,8.930305176219406,8.0
9,wine,IF3-jackknife+,0.8046744574290484,2.606927055456296,8.0
9,wine,IF3-JAWA,0.8297161936560935,2.4243094534807637,8.0
9,wine,IF3-JAWAmm,0.9549248747913188,8.60142999975169,8.0
