itrial,dataset,method,coverage,width,L2_lambda
0,communities,IF1-jackknife,0.885,2.2898938959102204,96.0
0,communities,IF1-jackknife-mm,0.9,2.475458191387553,96.0
0,communities,IF1-jackknife+,0.885,2.2901591129312044,96.0
0,communities,IF1-JAWA,0.89,2.3386824232992827,96.0
0,communities,IF1-JAWAmm,0.9,2.4353824097940118,96.0
0,communities,IF2-jackknife,0.895,2.3839235679870083,96.0
0,communities,IF2-jackknife-mm,0.915,2.621620100548359,96.0
0,communities,IF2-jackknife+,0.895,2.385120938570292,96.0
0,communities,IF2-JAWA,0.9,2.424595790164486,96.0
0,communities,IF2-JAWAmm,0.905,2.569695254757066,96.0
0,communities,IF3-jackknife,0.895,2.4213873079350297,96.0
0,communities,IF3-jackknife-mm,0.97,3.704990090812842,96.0
0,communities,IF3-jackknife+,0.89,2.4006138254092066,96.0
0,communities,IF3-JAWA,0.895,2.426999472292419,96.0
0,communities,IF3-JAWAmm,0.97,3.6249020187384593,96.0
0,communities,IF1-jackknife,0.905,2.528756161162827,128.0
0,communities,IF1-jackknife-mm,0.915,2.660074213905756,128.0
0,communities,IF1-jackknife+,0.905,2.5432756287247646,128.0
0,communities,IF1-JAWA,0.905,2.5733931943839323,128.0
0,communities,IF1-JAWAmm,0.915,2.6599823144535315,128.0
0,communities,IF2-jackknife,0.91,2.590241677214352,128.0
0,communities,IF2-jackknife-mm,0.925,2.7532209589341736,128.0
0,communities,IF2-jackknife+,0.91,2.605962633087424,128.0
0,communities,IF2-JAWA,0.91,2.634822919579306,128.0
0,communities,IF2-JAWAmm,0.925,2.751098168405825,128.0
0,communities,IF3-jackknife,0.91,2.5991606989459664,128.0
0,communities,IF3-jackknife-mm,0.985,4.121139438799661,128.0
0,communities,IF3-jackknife+,0.91,2.5984165389957528,128.0
0,communities,IF3-JAWA,0.91,2.6179323637675473,128.0
0,communities,IF3-JAWAmm,0.985,4.118733577542535,128.0
1,communities,IF1-jackknife,0.09,0.11392441240011486,0.5
1,communities,IF1-jackknife-mm,0.12,0.12759097643618547,0.5
1,communities,IF1-jackknife+,0.09,0.11394130442452949,0.5
1,communities,IF1-JAWA,0.09,0.1144570999869058,0.5
1,communities,IF1-JAWAmm,0.12,0.12676254746544183,0.5
1,communities,IF2-jackknife,0.145,0.16435676997446014,0.5
1,communities,IF2-jackknife-mm,0.16,0.1903297468705544,0.5
1,communities,IF2-jackknife+,0.145,0.1647621295492311,0.5
1,communities,IF2-JAWA,0.15,0.1656806032454374,0.5
1,communities,IF2-JAWAmm,0.16,0.1899874337813893,0.5
1,communities,IF3-jackknife,0.17,0.21307087210301034,0.5
1,communities,IF3-jackknife-mm,0.2,0.2499656080403979,0.5
1,communities,IF3-jackknife+,0.17,0.2125812432768528,0.5
1,communities,IF3-JAWA,0.17,0.2137127342053015,0.5
1,communities,IF3-JAWAmm,0.2,0.24617470941081582,0.5
1,communities,IF1-jackknife,0.215,0.2399998002562591,1.0
1,communities,IF1-jackknife-mm,0.225,0.2695812745563408,1.0
1,communities,IF1-jackknife+,0.215,0.23748984033253534,1.0
1,communities,IF1-JAWA,0.215,0.23939636581312138,1.0
1,communities,IF1-JAWAmm,0.22,0.26000391937797923,1.0
1,communities,IF2-jackknife,0.265,0.3417262501359726,1.0
1,communities,IF2-jackknife-mm,0.31,0.3959854813665926,1.0
1,communities,IF2-jackknife+,0.255,0.3357041293797675,1.0
1,communities,IF2-JAWA,0.265,0.3389311001507536,1.0
1,communities,IF2-JAWAmm,0.305,0.37949820661292133,1.0
1,communities,IF3-jackknife,0.32,0.4202919923811326,1.0
1,communities,IF3-jackknife-mm,0.35,0.49549639920644784,1.0
1,communities,IF3-jackknife+,0.32,0.42401776580990747,1.0
1,communities,IF3-JAWA,0.32,0.4276460520900127,1.0
1,communities,IF3-JAWAmm,0.35,0.4872663684436586,1.0
1,communities,IF1-jackknife,0.325,0.4311638822750603,2.0
1,communities,IF1-jackknife-mm,0.4,0.4840857693326768,2.0
1,communities,IF1-jackknife+,0.325,0.4375281287872986,2.0
1,communities,IF1-JAWA,0.33,0.4400547512803984,2.0
1,communities,IF1-JAWAmm,0.4,0.483479613730194,2.0
1,communities,IF2-jackknife,0.435,0.5670089013080826,2.0
1,communities,IF2-jackknife-mm,0.48,0.65909563073028,2.0
1,communities,IF2-jackknife+,0.45,0.5837532326341563,2.0
1,communities,IF2-JAWA,0.45,0.5867094680296977,2.0
1,communities,IF2-JAWAmm,0.48,0.6564484355796456,2.0
1,communities,IF3-jackknife,0.495,0.6865055915189187,2.0
1,communities,IF3-jackknife-mm,0.53,0.8117114047180449,2.0
1,communities,IF3-jackknife+,0.495,0.697485674395941,2.0
1,communities,IF3-JAWA,0.495,0.7040663264035412,2.0
1,communities,IF3-JAWAmm,0.53,0.8047687993069527,2.0
