itrial,dataset,method,coverage,width,L2_lambda
1,wine,IF2-JAWAmm,0.83,2.2117635526456354,2.0
1,wine,IF3-jackknife,0.8,2.030942321597585,2.0
1,wine,IF3-jackknife-mm,0.835,2.247741373498966,2.0
1,wine,IF3-jackknife+,0.8,2.049399613812114,2.0
1,wine,IF3-JAWA,0.8,2.0664164720103835,2.0
1,wine,IF3-JAWAmm,0.835,2.2435441033803816,2.0
1,wine,IF1-jackknife,0.83,2.063544271922199,4.0
1,wine,IF1-jackknife-mm,0.87,2.242000763372421,4.0
1,wine,IF1-jackknife+,0.835,2.073442473420975,4.0
1,wine,IF1-JAWA,0.835,2.082094669979265,4.0
1,wine,IF1-JAWAmm,0.87,2.240575055803334,4.0
1,wine,IF2-jackknife,0.845,2.1083725417821264,4.0
1,wine,IF2-jackknife-mm,0.92,3.1718651236773807,4.0
1,wine,IF2-jackknife+,0.845,2.111606481645138,4.0
1,wine,IF2-JAWA,0.845,2.1202138219524755,4.0
1,wine,IF2-JAWAmm,0.92,3.169781388607003,4.0
1,wine,IF3-jackknife,0.855,2.154957885252916,4.0
1,wine,IF3-jackknife-mm,0.95,15.935675097953661,4.0
1,wine,IF3-jackknife+,0.85,2.145845506748283,4.0
1,wine,IF3-JAWA,0.85,2.155357598189512,4.0
1,wine,IF3-JAWAmm,0.945,15.896378068405307,4.0
1,wine,IF1-jackknife,0.895,2.461208265032342,8.0
1,wine,IF1-jackknife-mm,0.915,2.6032131103153073,8.0
1,wine,IF1-jackknife+,0.89,2.4813447486965035,8.0
1,wine,IF1-JAWA,0.89,2.5187926161579917,8.0
1,wine,IF1-JAWAmm,0.915,2.5904602796450087,8.0
1,wine,IF2-jackknife,0.895,2.460390245713564,8.0
1,wine,IF2-jackknife-mm,0.95,3.593196457313489,8.0
1,wine,IF2-jackknife+,0.9,2.538173003595505,8.0
1,wine,IF2-JAWA,0.9,2.604213848741611,8.0
1,wine,IF2-JAWAmm,0.95,3.587000020613706,8.0
1,wine,IF3-jackknife,0.925,2.781816043854423,8.0
1,wine,IF3-jackknife-mm,0.975,11.97393753155978,8.0
1,wine,IF3-jackknife+,0.92,2.744733355752463,8.0
1,wine,IF3-JAWA,0.92,2.766225179647705,8.0
1,wine,IF3-JAWAmm,0.975,11.954692721677857,8.0
1,wine,IF1-jackknife,0.9,2.58440983977962,16.0
1,wine,IF1-jackknife-mm,0.91,2.6742477699395866,16.0
1,wine,IF1-jackknife+,0.9,2.584695501787381,16.0
1,wine,IF1-JAWA,0.9,2.6113128561798558,16.0
1,wine,IF1-JAWAmm,0.91,2.656192433657991,16.0
1,wine,IF2-jackknife,0.9,2.597774100140814,16.0
1,wine,IF2-jackknife-mm,0.915,2.700723093686646,16.0
1,wine,IF2-jackknife+,0.905,2.597774100140814,16.0
1,wine,IF2-JAWA,0.905,2.635233096307765,16.0
1,wine,IF2-JAWAmm,0.915,2.6731124008824088,16.0
1,wine,IF3-jackknife,0.9,2.5983197824800923,16.0
1,wine,IF3-jackknife-mm,0.955,3.041776662402749,16.0
1,wine,IF3-jackknife+,0.905,2.5983197824800923,16.0
1,wine,IF3-JAWA,0.905,2.637836299313091,16.0
1,wine,IF3-JAWAmm,0.955,3.0136202056057115,16.0
1,wine,IF1-jackknife,0.89,2.558754159593198,32.0
1,wine,IF1-jackknife-mm,0.905,2.639013847111289,32.0
1,wine,IF1-jackknife+,0.89,2.562976851018488,32.0
1,wine,IF1-JAWA,0.895,2.605688095813054,32.0
1,wine,IF1-JAWAmm,0.9,2.613222059425083,32.0
1,wine,IF2-jackknife,0.89,2.560994978727918,32.0
1,wine,IF2-jackknife-mm,0.91,2.6486159399238574,32.0
1,wine,IF2-jackknife+,0.89,2.570149903084343,32.0
1,wine,IF2-JAWA,0.895,2.610849920757837,32.0
1,wine,IF2-JAWAmm,0.9,2.6230228244434914,32.0
1,wine,IF3-jackknife,0.89,2.5610078730074424,32.0
1,wine,IF3-jackknife-mm,0.91,2.6487344411125493,32.0
1,wine,IF3-jackknife+,0.895,2.5755922739586987,32.0
1,wine,IF3-JAWA,0.9,2.6130209672712543,32.0
1,wine,IF3-JAWAmm,0.9,2.6231917227549344,32.0
1,wine,IF1-jackknife,0.895,2.7864934400372,64.0
1,wine,IF1-jackknife-mm,0.9,2.8503229069239486,64.0
1,wine,IF1-jackknife+,0.885,2.782887673149172,64.0
1,wine,IF1-JAWA,0.885,2.7911763732890633,64.0
1,wine,IF1-JAWAmm,0.895,2.828090588129734,64.0
1,wine,IF2-jackknife,0.895,2.79097545044599,64.0
1,wine,IF2-jackknife-mm,0.905,2.858690618015307,64.0
1,wine,IF2-jackknife+,0.885,2.785240536937499,64.0
1,wine,IF2-JAWA,0.885,2.792470837007066,64.0
1,wine,IF2-JAWAmm,0.895,2.8335466386725128,64.0
1,wine,IF3-jackknife,0.895,2.7910970086338494,64.0
1,wine,IF3-jackknife-mm,0.905,2.859324721742677,64.0
1,wine,IF3-jackknife+,0.885,2.7852781035523817,64.0
1,wine,IF3-JAWA,0.885,2.792482502279763,64.0
1,wine,IF3-JAWAmm,0.895,2.8340777110481703,64.0
1,wine,IF1-jackknife,0.895,3.0447299314946252,96.0
1,wine,IF1-jackknife-mm,0.905,3.094888659932502,96.0
1,wine,IF1-jackknife+,0.885,3.042567167317725,96.0
1,wine,IF1-JAWA,0.885,3.0454838857457736,96.0
1,wine,IF1-JAWAmm,0.905,3.082191281884752,96.0
1,wine,IF2-jackknife,0.895,3.045091008296916,96.0
1,wine,IF2-jackknife-mm,0.905,3.096741525961824,96.0
1,wine,IF2-jackknife+,0.89,3.0430775106736396,96.0
1,wine,IF2-JAWA,0.89,3.0461481305969555,96.0
1,wine,IF2-JAWAmm,0.905,3.0840903196196487,96.0
1,wine,IF3-jackknife,0.895,3.0450718076150554,96.0
1,wine,IF3-jackknife-mm,0.905,3.0967706028886477,96.0
1,wine,IF3-jackknife+,0.89,3.043034546985739,96.0
1,wine,IF3-JAWA,0.89,3.0461067326445863,96.0
1,wine,IF3-JAWAmm,0.905,3.0841137094084576,96.0
1,wine,IF1-jackknife,0.95,3.288581467388098,128.0
1,wine,IF1-jackknife-mm,0.95,3.321217704544737,128.0
1,wine,IF1-jackknife+,0.89,3.287880209771597,128.0
1,wine,IF1-JAWA,0.89,3.2883532299261393,128.0
1,wine,IF1-JAWAmm,0.95,3.3209026780602464,128.0
1,wine,IF2-jackknife,0.95,3.2887269129788708,128.0
1,wine,IF2-jackknife-mm,0.95,3.3216367193583123,128.0
1,wine,IF2-jackknife+,0.89,3.2886676929944274,128.0
1,wine,IF2-JAWA,0.89,3.288851908079634,128.0
1,wine,IF2-JAWAmm,0.95,3.3206386693033467,128.0
1,wine,IF3-jackknife,0.95,3.2887473961152613,128.0
1,wine,IF3-jackknife-mm,0.95,3.3203246554487005,128.0
1,wine,IF3-jackknife+,0.89,3.2883639191081575,128.0
1,wine,IF3-JAWA,0.89,3.2886604616265256,128.0
1,wine,IF3-JAWAmm,0.95,3.3191203266556424,128.0
2,wine,IF1-jackknife,0.575,1.449093620969479,0.5
2,wine,IF1-jackknife-mm,0.61,1.638470896818277,0.5
2,wine,IF1-jackknife+,0.57,1.4526874011525208,0.5
2,wine,IF1-JAWA,0.57,1.4638547382161105,0.5
